sex,zygosity,moed,faed,faminc,english,math,socsci,natsci,vocab
2,1,3,4,2,14,13,17,18,14
2,1,3,4,2,11,14,15,10,12
2,1,1,1,1,20,20,16,16,13
2,1,1,1,1,17,19,13,13,14
2,1,1,1,1,11,8,15,16,12
2,1,1,1,1,16,13,13,8,15
1,2,3,2,4,9,19,7,10,6
1,2,3,2,4,8,16,15,17,11
1,2,5,4,3,15,23,23,21,21
1,2,5,4,3,15,13,13,20,19
2,2,4,2,3,20,17,16,12,12
2,2,4,2,3,19,18,13,18,15
1,1,4,6,3,26,20,27,23,28
1,1,4,6,3,25,20,29,24,30
1,1,4,6,5,28,31,31,29,30
1,1,4,6,5,27,28,28,27,30
2,2,5,4,1,24,25,17,21,22
2,2,5,4,1,27,25,22,24,23
1,1,3,2,2,19,19,17,22,16
1,1,3,2,2,19,22,13,14,17
1,1,2,1,2,7,18,15,14,5
1,1,2,1,2,16,15,17,15,7
2,1,3,5,4,22,23,23,24,23
2,1,3,5,4,21,24,24,24,26
2,2,4,1,3,8,7,13,3,10
2,2,4,1,3,16,15,13,14,15
2,1,4,3,2,25,17,21,18,23
2,1,4,3,2,22,13,19,15,19
1,1,4,4,4,21,14,25,23,25
1,1,4,4,4,18,17,17,20,20
2,2,5,3,2,22,21,16,21,27
2,2,5,3,2,24,20,25,18,26
2,2,6,6,2,23,26,25,20,23
2,2,6,6,2,18,13,24,18,22
2,1,2,4,2,18,19,21,20,21
2,1,2,4,2,23,20,16,18,24
1,1,3,5,5,19,25,25,28,26
1,1,3,5,5,23,29,24,23,27
2,1,2,1,1,13,14,14,11,13
2,1,2,1,1,14,12,13,13,16
1,1,6,5,4,10,17,12,20,9
1,1,6,5,4,15,16,21,14,10
1,2,0,0,0,19,22,22,17,21
1,2,0,0,0,23,26,18,24,23
1,1,4,4,1,23,11,21,21,21
1,1,4,4,1,24,23,24,21,21
2,1,4,4,4,17,5,14,15,18
2,1,4,4,4,20,13,13,13,18
1,2,4,6,5,20,27,23,23,18
1,2,4,6,5,24,28,28,31,28
2,1,3,4,2,24,30,25,27,28
2,1,3,4,2,27,30,25,28,29
2,1,2,1,3,21,7,19,14,16
2,1,2,1,3,22,14,16,18,15
1,1,3,6,0,22,26,21,21,20
1,1,3,6,0,24,16,25,23,22
1,1,4,3,3,27,25,26,25,25
1,1,4,3,3,22,30,25,27,26
2,1,4,3,5,17,11,20,19,18
2,1,4,3,5,20,18,20,19,18
2,1,3,3,3,14,13,17,9,18
2,1,3,3,3,14,14,19,13,18
2,2,3,4,3,23,22,28,26,27
2,2,3,4,3,27,26,26,27,28
2,1,4,2,1,20,20,21,22,24
2,1,4,2,1,24,25,21,23,30
1,1,4,5,6,16,23,20,23,23
1,1,4,5,6,21,27,25,26,25
1,1,4,2,2,17,22,28,25,24
1,1,4,2,2,17,23,26,25,22
1,1,3,3,4,19,23,26,27,26
1,1,3,3,4,17,33,25,25,27
1,1,3,3,1,25,23,22,26,24
1,1,3,3,1,26,30,29,21,24
1,1,2,2,1,23,20,22,18,23
1,1,2,2,1,25,25,27,25,23
2,1,4,4,5,19,29,25,24,28
2,1,4,4,5,27,24,26,24,25
1,1,5,3,2,19,29,25,24,23
1,1,5,3,2,14,25,15,22,18
2,1,5,6,4,27,31,22,26,20
2,1,5,6,4,25,25,26,28,23
1,2,3,4,4,23,32,17,26,22
1,2,3,4,4,18,11,15,14,18
1,1,4,6,4,17,20,22,22,23
1,1,4,6,4,14,21,17,15,21
2,1,3,4,4,25,18,23,17,22
2,1,3,4,4,27,23,28,26,29
